SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	       0.010	           3	           8	 4.79424e+03	 2.64617e+09	 2.00000e+04	 2.00000e+02	 2.54000e+04	 2.54000e+02	 1.75311e-03
	       0.110	          12	          45	 4.79469e+03	 2.64618e+09	 2.00000e+04	 2.20000e+03	 2.52532e+04	 2.77932e+03	 5.13829e-03
	       0.210	          17	          64	 4.79507e+03	 2.64618e+09	 2.00000e+04	 4.20000e+03	 2.50685e+04	 5.28617e+03	 6.11972e-03
	       0.329	          21	          76	 4.79556e+03	 2.64619e+09	 2.00000e+04	 6.57629e+03	 2.58672e+04	 8.35957e+03	 7.02098e-03
	       0.528	          28	         108	 4.79630e+03	 2.64619e+09	 2.00000e+04	 1.05644e+04	 2.72214e+04	 1.37877e+04	 8.30732e-03
	       0.827	          32	         129	 4.79740e+03	 2.64621e+09	 2.00000e+04	 1.65467e+04	 2.79287e+04	 2.21415e+04	 9.62786e-03
	       1.000	          35	         141	 4.79801e+03	 2.64621e+09	 2.00000e+04	 2.00000e+04	 2.77561e+04	 2.69341e+04	 1.01092e-02
	       1.345	          40	         159	 4.79926e+03	 2.64622e+09	 2.00000e+04	 2.69066e+04	 2.70362e+04	 3.62706e+04	 1.06574e-02
	       1.863	          46	         187	 4.80118e+03	 2.64624e+09	 2.00000e+04	 3.72666e+04	 2.66590e+04	 5.00798e+04	 1.12692e-02
	       2.640	          51	         207	 4.80400e+03	 2.64627e+09	 2.00000e+04	 5.28065e+04	 2.67837e+04	 7.08907e+04	 1.21176e-02
	       3.806	          56	         229	 4.80822e+03	 2.64631e+09	 2.00000e+04	 7.61164e+04	 2.67798e+04	 1.02102e+05	 1.30289e-02
	       4.000	          58	         235	 4.80884e+03	 2.64632e+09	 2.00000e+04	 8.00000e+04	 2.67640e+04	 1.07299e+05	 1.31663e-02
	       4.388	          60	         242	 4.81014e+03	 2.64633e+09	 2.00000e+04	 8.77672e+04	 2.67117e+04	 1.17673e+05	 1.34018e-02
	       5.165	          64	         255	 4.81284e+03	 2.64636e+09	 2.00000e+04	 1.03301e+05	 2.66872e+04	 1.38402e+05	 1.38317e-02
	       6.719	          68	         271	 4.81835e+03	 2.64642e+09	 2.00000e+04	 1.34370e+05	 2.67650e+04	 1.79979e+05	 1.45844e-02
	       9.234	          74	         297	 4.82730e+03	 2.64651e+09	 2.00000e+04	 1.84680e+05	 2.68467e+04	 2.47512e+05	 1.55519e-02
	      12.234	          79	         321	 4.83767e+03	 2.64661e+09	 2.00000e+04	 2.44680e+05	 2.68169e+04	 3.27963e+05	 1.63925e-02
	      13.000	          82	         330	 4.84012e+03	 2.64663e+09	 2.00000e+04	 2.60000e+05	 2.67956e+04	 3.48488e+05	 1.65825e-02
	      14.532	          85	         342	 4.84520e+03	 2.64669e+09	 2.00000e+04	 2.90640e+05	 2.67990e+04	 3.89544e+05	 1.69408e-02
	      17.532	          90	         361	 4.85552e+03	 2.64679e+09	 2.00000e+04	 3.50640e+05	 2.68329e+04	 4.70043e+05	 1.75539e-02
	      20.532	          95	         382	 4.86570e+03	 2.64689e+09	 2.00000e+04	 4.10640e+05	 2.68298e+04	 5.50532e+05	 1.80616e-02
	      23.532	          99	         399	 4.87583e+03	 2.64699e+09	 2.00000e+04	 4.70640e+05	 2.68067e+04	 6.30952e+05	 1.84827e-02
	      26.532	         103	         417	 4.88593e+03	 2.64709e+09	 2.00000e+04	 5.30640e+05	 2.67633e+04	 7.11242e+05	 1.88333e-02
