  Rank     Grid Num     Updating Properties(s)     Assembling(s)     Communication(collect)(s)     Communication(P2P)(s)     1AllReduce(OCPCheck)(s)     Newton Step(s)     Newton Step(c)(s)
     0          995                      1.479             2.575                         1.391                     0.311                       0.397              0.585                 0.323
     1          985                      1.439             2.618                         1.231                     0.240                       0.347              0.519                 0.365
     2          997                      1.497             2.508                         1.508                     0.283                       0.432              0.557                 0.315
     3          995                      1.588             2.484                         1.567                     0.206                       0.498              0.479                 0.318
     4         1005                      1.527             2.695                         1.067                     0.241                       0.345              0.542                 0.371
     5         1023                      1.480             2.636                         1.195                     0.305                       0.348              0.614                 0.365
     6         1019                      1.496             2.500                         1.458                     0.252                       0.427              0.491                 0.327
     7          998                      1.505             2.712                         1.162                     0.263                       0.373              0.559                 0.349
     8         1019                      1.495             2.657                         1.128                     0.282                       0.358              0.535                 0.361
     9          989                      1.427             2.618                         1.179                     0.223                       0.330              0.481                 0.371
    10         1016                      1.456             2.673                         1.077                     0.217                       0.307              0.530                 0.391
    11          998                      1.505             2.506                         1.478                     0.205                       0.428              0.458                 0.318
    12         1013                      1.467             2.485                         1.456                     0.197                       0.403              0.458                 0.343
    13          966                      1.494             2.544                         1.428                     0.197                       0.416              0.487                 0.338
    14          967                      1.466             2.516                         1.494                     0.183                       0.404              0.459                 0.313
    15          989                      1.410             2.636                         1.136                     0.219                       0.304              0.508                 0.383
    16          997                      1.474             2.580                         1.203                     0.298                       0.343              0.569                 0.370
    17         1008                      1.478             2.629                         1.151                     0.376                       0.349              0.639                 0.371
    18         1026                      1.510             2.450                         1.592                     0.248                       0.444              0.523                 0.307
    19          963                      1.516             2.560                         1.488                     0.210                       0.448              0.472                 0.293
    20         1000                      1.446             2.633                         1.200                     0.210                       0.341              0.494                 0.363
    21          990                      1.490             2.690                         1.146                     0.242                       0.355              0.546                 0.364
    22         1015                      1.445             2.625                         1.252                     0.261                       0.354              0.537                 0.342
    23          998                      1.509             2.568                         1.346                     0.240                       0.399              0.538                 0.353
    24          997                      1.478             2.573                         1.280                     0.235                       0.364              0.519                 0.357
    25          995                      1.501             2.493                         1.405                     0.178                       0.387              0.431                 0.327
    26          914                      1.416             2.364                         1.562                     0.354                       0.366              0.625                 0.347
    27         1003                      1.531             2.679                         1.187                     0.246                       0.389              0.550                 0.356
    28         1028                      1.523             2.673                         1.176                     0.258                       0.383              0.552                 0.359
    29         1000                      1.512             2.522                         1.439                     0.178                       0.422              0.461                 0.330
    30         1004                      1.514             2.544                         1.397                     0.288                       0.399              0.579                 0.328
    31          998                      1.489             2.504                         1.478                     0.181                       0.417              0.462                 0.335
    32         1015                      1.451             2.781                         0.980                     0.138                       0.301              0.437                 0.355
    33         1002                      1.576             2.442                         1.551                     0.244                       0.464              0.485                 0.291
    34          984                      1.455             2.638                         1.149                     0.213                       0.332              0.480                 0.355
    35         1001                      1.433             2.652                         1.096                     0.176                       0.296              0.475                 0.371
    36         1024                      1.360             2.659                         1.091                     0.175                       0.257              0.475                 0.368
    37         1009                      1.529             2.590                         1.291                     0.204                       0.401              0.491                 0.343
    38          958                      1.452             2.505                         1.381                     0.227                       0.366              0.473                 0.321
    39          973                      1.520             2.647                         1.123                     0.297                       0.348              0.590                 0.363
    40          985                      1.426             2.730                         1.000                     0.165                       0.282              0.468                 0.373
    41          996                      1.595             2.619                         1.309                     0.230                       0.457              0.489                 0.318
    42         1039                      1.454             2.608                         1.221                     0.252                       0.361              0.471                 0.331
    43         1019                      1.463             2.652                         1.121                     0.315                       0.332              0.605                 0.375
    44         1013                      1.541             2.515                         1.369                     0.258                       0.430              0.502                 0.337
    45         1008                      1.519             2.821                         0.948                     0.257                       0.343              0.553                 0.359
    46          995                      1.482             2.699                         1.027                     0.300                       0.321              0.590                 0.383
    47         1000                      1.493             2.639                         1.119                     0.379                       0.354              0.630                 0.361
    48         1005                      1.482             2.640                         1.105                     0.359                       0.340              0.640                 0.374
    49         1000                      1.413             2.602                         1.152                     0.194                       0.293              0.516                 0.392
    50         1014                      1.456             2.528                         1.363                     0.229                       0.367              0.507                 0.334
    51          963                      1.360             2.436                         1.415                     0.151                       0.296              0.426                 0.338
    52         1010                      1.372             2.584                         1.109                     0.267                       0.262              0.546                 0.381
    53          997                      1.459             2.573                         1.308                     0.267                       0.370              0.574                 0.359
    54          999                      1.451             2.561                         1.223                     0.295                       0.329              0.610                 0.390
    55         1001                      1.370             2.581                         1.111                     0.222                       0.256              0.484                 0.375
    56          999                      1.513             2.575                         1.104                     0.327                       0.324              0.607                 0.386
    57          990                      1.577             2.495                         1.423                     0.212                       0.448              0.439                 0.312
    58          990                      1.399             2.534                         1.232                     0.269                       0.312              0.549                 0.386
    59          976                      1.376             2.551                         1.226                     0.292                       0.307              0.561                 0.380
    60          989                      1.415             2.562                         1.226                     0.261                       0.317              0.534                 0.363
    61         1010                      1.478             2.673                         1.042                     0.336                       0.322              0.612                 0.370
    62         1019                      1.400             2.562                         1.242                     0.245                       0.309              0.560                 0.375
    63          994                      1.443             2.417                         1.445                     0.226                       0.351              0.479                 0.335
    64          995                      1.525             2.557                         1.239                     0.259                       0.371              0.551                 0.354
    65          996                      1.500             2.537                         1.274                     0.291                       0.368              0.568                 0.356
    66          994                      1.487             2.626                         1.078                     0.302                       0.311              0.638                 0.406
    67          993                      1.396             2.593                         1.177                     0.198                       0.295              0.513                 0.379
    68          997                      1.529             2.602                         1.131                     0.255                       0.345              0.563                 0.379
    69         1011                      1.475             2.651                         1.024                     0.303                       0.325              0.562                 0.395
    70         1016                      1.570             2.430                         1.655                     0.214                       0.501              0.465                 0.288
    71          993                      1.473             2.712                         1.005                     0.319                       0.312              0.628                 0.398
    72         1017                      1.468             2.670                         1.051                     0.269                       0.324              0.573                 0.388
    73         1012                      1.489             2.657                         1.092                     0.239                       0.355              0.537                 0.395
    74         1020                      1.440             2.651                         1.057                     0.360                       0.299              0.675                 0.397
    75         1017                      1.455             2.643                         1.028                     0.392                       0.300              0.669                 0.388
    76          995                      1.514             2.495                         1.344                     0.204                       0.393              0.451                 0.343
    77          993                      1.653             2.771                         0.969                     0.296                       0.425              0.519                 0.340
    78          991                      1.499             2.608                         1.170                     0.248                       0.347              0.538                 0.363
    79          998                      1.490             2.603                         1.173                     0.330                       0.369              0.606                 0.390
    80         1003                      1.472             2.612                         1.055                     0.300                       0.292              0.626                 0.408
    81         1002                      1.476             2.568                         1.116                     0.338                       0.336              0.578                 0.385
    82          998                      1.519             2.620                         1.156                     0.279                       0.369              0.567                 0.367
    83         1006                      1.477             2.536                         1.200                     0.305                       0.329              0.582                 0.369
    84         1001                      1.453             2.590                         1.096                     0.310                       0.299              0.607                 0.387
    85          996                      1.425             2.591                         1.107                     0.289                       0.296              0.588                 0.399
    86          993                      1.483             2.536                         1.254                     0.310                       0.379              0.561                 0.381
    87         1011                      1.455             2.612                         1.101                     0.340                       0.324              0.608                 0.381
    88          999                      1.443             2.565                         1.119                     0.367                       0.317              0.610                 0.384
    89         1006                      1.515             2.498                         1.315                     0.302                       0.410              0.509                 0.346
    90         1008                      1.435             2.548                         1.282                     0.336                       0.354              0.604                 0.364
    91         1009                      1.475             2.615                         1.130                     0.291                       0.335              0.588                 0.382
    92         1014                      1.495             2.696                         0.957                     0.265                       0.308              0.583                 0.416
    93         1011                      1.448             2.511                         1.360                     0.276                       0.373              0.561                 0.367
    94          993                      1.508             2.476                         1.372                     0.339                       0.390              0.577                 0.332
    95         1016                      1.557             2.589                         1.246                     0.258                       0.430              0.504                 0.359
    96          999                      1.414             2.495                         1.310                     0.297                       0.327              0.579                 0.372
    97         1001                      1.447             2.633                         1.044                     0.389                       0.312              0.654                 0.394
    98         1002                      1.499             2.642                         1.012                     0.308                       0.321              0.580                 0.392
    99          996                      1.434             2.493                         1.329                     0.226                       0.353              0.475                 0.356
   100         1007                      1.489             2.624                         1.056                     0.314                       0.336              0.574                 0.393
   101          983                      1.479             2.562                         1.189                     0.303                       0.353              0.569                 0.381
   102          954                      1.456             2.589                         1.251                     0.189                       0.348              0.478                 0.351
   103         1001                      1.454             2.620                         1.075                     0.367                       0.315              0.623                 0.386
   104         1008                      1.538             2.658                         1.039                     0.341                       0.370              0.606                 0.399
   105          992                      1.457             2.584                         1.186                     0.305                       0.347              0.599                 0.391
   106         1004                      1.474             2.641                         1.072                     0.309                       0.332              0.597                 0.394
   107         1011                      1.502             2.636                         1.092                     0.313                       0.356              0.574                 0.375
