Function                                                                                                                                                CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module                    Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                            Source File            Start Address
------------------------------------------------------------------------------------------------------------------------------------------------------  --------  -----------------------  ------------------  ----------------------  ------------------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------------------  -------------
__intel_avx_rep_memset                                                                                                                                    1.584s                   1.584s                  0s                      0s  testOpenCAEPoro           __intel_avx_rep_memset                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x62a1a0     
MatLUFactorNumeric_SeqBAIJ_4_NaturalOrdering                                                                                                              1.362s                   1.362s                  0s                      0s  libpetsc.so.3.19          MatLUFactorNumeric_SeqBAIJ_4_NaturalOrdering                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x5392e0     
hypre_BoomerAMGBuildCoarseOperatorKT                                                                                                                      1.036s                   1.036s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGBuildCoarseOperatorKT                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x1f85b0     
MatSetValues_SeqBAIJ                                                                                                                                      0.967s                   0.967s                  0s                      0s  libpetsc.so.3.19          MatSetValues_SeqBAIJ                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x4f3ed0     
func@0x19a334                                                                                                                                             0.722s                   0.722s                  0s                      0s  libc.so.6                 func@0x19a334                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x19a334     
posix_memalign                                                                                                                                            0.632s                   0.632s                  0s                      0s  libc.so.6                 posix_memalign                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0xa70e0      
free                                                                                                                                                      0.476s                   0.476s                  0s                      0s  libc.so.6                 free                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0xa53e0      
PetscHMapFuncInsert_Private                                                                                                                               0.476s                   0.476s                  0s                      0s  libpetsc.so.3.19          PetscHMapFuncInsert_Private                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x1dd4a0     
hypre_BoomerAMGBuildExtPIInterpHost                                                                                                                       0.458s                   0.458s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGBuildExtPIInterpHost                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x1a2030     
OCPFlux01::AssembleMatFIM                                                                                                                                 0.404s                   0.404s                  0s                      0s  testOpenCAEPoro           OCPFlux01::AssembleMatFIM(BulkConnPair const&, unsigned int const&, BulkConnVarSet const&, Bulk const&)                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x4afd90     
